,Figured,Name,Locality,CatNo,Situation,SiteNo,Site,PhotoNo,Remarks,OrigNo,AccNo,f_name
1898,,Fragment of bone awl.,up any blue hill falls me ,778,Of(S-E- end). Under and shell layer in black human.,Me. 152/1,Nevin Shellheap,,,,3,3_0778.pdf.png
2330,,Broken arrow point.,andover mass ,6857,Round near large bolder. act. 1940.,M12/43,Piggery,,Lift of Arthur 3-3. Hofmann'Ballardvalm Pass.,288,83,83_6857.pdf.png
5258,(W,fragment of whipped implement,wellfleet massachusetts ,14641,Bank on north shore of wellfleet May lying north of the north east point of Lieutenant Island Wellfleet.,,North Shore of Wellfleet Bay,,Round in 1917-,896,141,141_14641.pdf.png
291,,thin I curved quart knife.,eastern of qui knock et pond hart has vine arm mass ,141,Dec. Of below shell.,M50/1,Hornblower Shell Heap,Photo.No.,,3/40,2,2_0141.pdf.png
2540,,Broken arrow point.,andover mass ,7292,Round under same conditions and with 320.,M12/43,Piggery,,Lift of Arthur m. Hofmanm Ballardvalm Case-,321,92,92_7292.pdf.png
877,,Joint of arrowpoint.,blue hill falls lie ,2239,Of. Shell flecked human below shells.,Me. 152/1,Nevin Shellheap,PhotO-NO-,,Orig.No.2056,25,25_2239.pdf.png
6086,,Gouge.,war re mass ,1770,,,Town Farm,,Rake collection Brookfielm Pass.,57,21,21_1770.pdf.png
239,,1 shale point.,me as tend of squibnocket pond martha vineyards mass ,88,th in Dec. 4 in yellow sand. 7,M50/1,Hornblower Shell Heap,Photo-NO-,same 3 Round in scrap.,,2,2_0088.pdf.png
5029,,fragment of worked stone,wellfleet massachusetts ,14365,Will west of railroad cut at northwest end of large meadow.,,North of Mayo's Beach Light,,Round in 191).,L178,141,141_14365.pdf.png
5823,,Line Fro'ken piece of flat statute. Probably part of vessel.,jack lanes bay labrador ,1249,,,Ward Hill,Photo.No.,Exchange with Field Museum Chicago. Collected by Duncan Strong.,176966,17,17_1249.pdf.png
3018,,Aifowpo in.,no reading mass ,6379,,,Swamp site (Tuberculosis sanitarium),,Round by Or. Margerison of To. Leading and sold to Or. Forehead by his son.,,36,36_6379.pdf.png
1654,,Broken bone harpoon with line hole.,blue hill fall me ,534,Among stones near 10.2 Section of in pit.,Me. 152/1,Nevin Shellheap,,,,3,3_0534.pdf.png
3754,,8 clips,in un by on main an point new tweed mal lowell island and pitch islands md mind maine ,11904,S U P a C 8,Me. 152/7,Brown's Shellheap,thn.No.,,Orig.No.-1,131,131_11904.pdf.png
5422,,fragment of whipped implement,south true am massachusetts ,14825,Will north of small pond east of railroad crossing.,,17 mile north west of railroad station,Photo.No.,Round in 1919.,10111,141,141_14825.pdf.png
4281,,Trading stone('2),inches point west short least bay perry me ,13104,Level of-,M12/43,Mincher's Point,Photo.No.,(359) Located by Or. I.W. Kingsbur-m merry he etc. 1950.,Orig.No-1./1,137,137_13104.pdf.png
7433,,Fragment of knife/ 13,piti coma ll ,8831,"Area I of. Of 64"" from Of. 565 from Of. 8"" deep. at division shell and underlying brown clay. ask"" below date I.",M39/7,Great. Neck - I,,Edge- of break rounded or rubbed.,,116,116_8831.pdf.png
2553,,Fragment of arrow point.,an dove fame ,7306,a in de up.,M12/43,Piggery,,Lift of Arthur M. Hofmanm Ballardvalm Pass.,335,92,92_7306.pdf.png
8656,,fragments of whipped. implements(5),wellfleet massachusetts ,14846,,,Pr'o'bf 171V mm'lor LYill . - a .,,Round in 1919.,,141,141_14846.pdf.png
1903,,System shell.,blue hill falls me ,783,General region - stake 19.3/Of. In top of shell.,Me. 152/1,Nevin Shellheap,,,,3,3_0783.pdf.png
8407,,4 fragments(broken) at whipped chalcedony retouohed.,jack lanes bay labrador ,1234,,,"Sharp Hill, Quarry Site",PhotO-NO-,Exchange with Field Museum Chicago. Collected by Duncan Strong.,176948,17,17_1234.pdf.png
5639,,iron trade axe,north true massachusetts ,15264,,,Pilgrim Heights,,Round by John R. Peterson. Lexington. Pass.. in 1929.,1548,141,141_15264.pdf.png
7382,,ho er 7 0 pp()/ M,no win hill ,8836,S't t'on Area I Q. Of Of. 305 from 71... Of'deem bl. of shell. 20W below date I.,M13/77,Great Beach Hill,,,144,116,116_8836.pdf.png
329,,Toe.,eastern of squibnocket pond martha vineyards mass ,180,Dec. 20 below shells.,M50/1,Hornblower Shell Heap,,,,2,2_0180.pdf.png
1952,,Large stone pick.,blue hill falls me ,833,Of. Round in black deposit under pile of stones. 450m. below stake 10.3/Of.,Me. 152/1,Nevin Shellheap,,,,3,3_0833.pdf.png
8515,,Arrow point.,andover s,7056,Round Sov. 6 1894.,M12/43,,,Lift of Arthur m. Hofmanm Ballardvala Pass.,13,83,83_7056.pdf.png
3399,,Limonite,ellsworth fall maine ,9876,"Of - Grass roots. 14"" North on Of(Of) long depth 9-5""",M39/7,Wasp Island,Photo.No.,OCC 4 - 555 of-To(5 5'1'1Q5J 3'939'53,D2 .2,125,125_9876.jpg.png
1202,,Broken More. U u,blue hill foi in ,2583,French 112.1) Section 42. In human.,Me. 152/1,Nevin Shellheap,PhotO-NO-,,Oriz-NO-1888,25,25_2583.pdf.png
2741,. 14-11-,Am shares shell tempered,ipswich man ,8677,"Area 1 Q. Of from Of'ask from Of'6"" deep. in shell. below date I. From shell of Q. 7-1.",M13/77,Great Beach Hill,Photo.No.,,217,116,116_8677.pdf.png
397,,1 arrowpoiht.,eastern of squibnocket pon martha spine march mass ,249,Dec. 208 in pit 10 0.,M50/1,Hornblower Shell Heap,PhotO-NO-,,0rig.No.S/136,2,2_0249.pdf.png
4870,,sand-blasted fragment of whipped simple-,well flee in massachusetts ,14158,Must east of large sand bank on east side of Wellfleet Ah between Indian Neck c Down Love.,,Between Indian Neck and Town Cove,,Round in mm.,3110,141,141_14158.pdf.png
3091,,Potsheru cord saddled exterior smooth,ellsworth falls maine ,10159,"Of - Grass roots. 345- North 23"" West of of 3-5"" deep",M39/7,Wasp Island,,via 4244/t7102,0rig.No. F7.23,125,125_10159.jpg.png
3438,,Lip of whipped blade,ellsworth fall maine ,9897,Of - Not in situation on or just below surface left at end of 1947 season. A pro in North of 4 l'd u A of E line and about 73 below surface of iodine an 8 Was,M39/7,Wasp Island,Photo.No.,gACtg TDIQT -,0rig.No. D4.481,125,125_9897.jpg.png
1194,5'k',shipper.,blue hill fall me ,2575,Take of.3 Section 453. Must under turf.,Me. 152/1,Nevin Shellheap,,B Round kicking around on surface left by peeling turf'may conceivable have-but-thrown out by A I,,25,25_2575.pdf.png
5191,,knife e,wellfleet massachusetts ,14559,T op of hill in cow pasture.,,North of Chequesset Inn and Neck Road,,Round in 1916.,809,141,141_14559.pdf.png
6269,,core,lake in temiscamie river miles from mouth ,10864,Excavated. of-of'deep pinkish soil.,,,Photo.No.,,8h,126,126_10864.pdf.png
8478,,Knife.,andover mass ,7053,Round Dug. 12 1916-,He.152/1,,,Lift of Arthur of. Hofmanm Eallardvalg Pass.,59,83,83_7053.pdf.png
4032,,Ship,miles of lake charme fig it bank du car me river ,12670,Our a c 3,,,Photo.No.,,0rig.No.,134,134_12670.pdf.png
3573,,Word-saddled body need,ellsworth falls maine ,9969,"Of - Sense yellow-gray layer. 27"" North of Fig 4"" West depth 13"" below Of",M39/7,Wasp Island,,,F5 . 61,125,125_9969.jpg.png
5182,,Arrow head,wellfleet massachusetts ,14549,Will in cow pasture approximately 3/h mile north of Chequesset Inn,,Northeast of Chequesset Inn,,Round in 191A,384,141,141_14549.pdf.png
3138,,Small cord-impressed grit-tempered body Her,ellsworth fall maine ,10188,Of - Surface. In the wall,M39/7,Wasp Island,,,71/53,125,125_10188.jpg.png
5691,,unfinished whipped implement,east hm massachusetts ,15355,,,Village site on shore of NauSet east of Salt Pond (Land of L.,,Round in 1929.,1624,141,141_15355.pdf.png
463,,1 quart scraped.,eastern of squibnocket pond martha vineyards mass ,316,Dec. 307 in shell.,M50/1,Hornblower Shell Heap,Photo.No.,,8/193,2,2_0316.pdf.png
7654,,Drill tip,der nays vi ll maine ,11748,"F-ll oh"" F-oh am F- oh""(sorrow). Below",Me. 152/7,Dennis Farm,,,-1 65,130,130_11748.pdf.png
7354,,Hands. near tempered,in who as s,9111,great. Q. 33SE from 3483. 471 from 348D. 51 deep. in shell below date I.,M49/31,Great. Neck - I,,Plus drilled hard from shell of Q. 3280,319,116,116_9111.pdf.png
4268,,Large shed now broken,inches sat uwestshore east bal perry me ,13085,L loose shell near tales slope layer of.,Me. 152/7,Mincher's Point,Photo.N0-,,,137,137_13085.pdf.png
7034,,Sheet iron dish,east bank bolder cruel northeast of alba ne lake upon territory ,12876,Under mo 5 s.,,"Moose Hide Tipi, Yukon Territory",,L'.J. Upon Notes.,,135,135_12876.pdf.png
8282,,Small horn artifice.,near aim nlabrador ,1522,,,Nukasujuktok Island,Photo.No.,Exchange with Field Museum Chicago. Collected by Duncan Strong.,,17,17_1522.pdf.png
3023,,Plummet.,war re maine ,6356,,,"Cemetery Opposite Stevens, Warren, Maine",,,,36,36_6356.pdf.png
1334,,Potsherds.,blue hill sang lie ,2723,French of.L Section 4-2. TTehr south edge in middle at those of plow Line - probe'near below.,Me. 152/1,Nevin Shellheap,PhotO-NO-,,,25,25_2723.pdf.png
8330,Collected by Duncan Strong.(Case,,he day my of jack lanes an ,1266,,,point of clear chalcedony.,,Exchange with Field Museum. Chicago.,,17,17_1266.pdf.png
5239,,runner Fragment of worked stone,wellfleet nos such scott s,14616,Top of hill with large sand bank on east shore of weilfleet May between Indian Neck and Luck Greek.,,Between Indian Neck and Duck Creek,,'Round in 1917,,141,141_14616.pdf.png
4157,,Forges c Fragments of gorges,,12958,,,"Vicinity of Lowell, Mass",,Sawtelle Collection.,,136,136_12958.pdf.png
2286,,Line Case of quartette spearhead.,pomfret corn ,1062,Unknown.,,Pomfret Landing,,,,5,5_1062.pdf.png
5758,,unfinished whipped implement,true massachusetts ,15463,,,Corn Hill,,Round in 1930.,1748,141,141_15463.pdf.png
7927,.,flag. arrowpoint,lake in temiscamie give by miles from mouth ,9238,,Me. 152/1,,Photo.No.,collected by Murray H. Rogers,,118,118_9238.pdf.png
3936,,Ships,au he small island near outlet of puskitamika lake ,12573,S up a c 9,,,Phan.No.,,,134,134_12573.pdf.png
8860,,arrowhead,eastham massachusetts ,15372,,,,,Round by 1 in,1642,141,141_15372.pdf.png
1721,,Nail and when shells.,blue hill fall me ,601,Top of shells and down into the shells. French of.1 and 2 section 43.,Me. 152/1,Nevin Shellheap,Photo-NO-,,Orig.No-10,3,3_0601.pdf.png
5716,,knit fe,north true massachusetts ,15394,,,Pilgrim Heights,,Round in 1930.,,141,141_15394.pdf.png
5187,,arrow head,well flee massachusetts ,14555,Top of hill in cow pasture-,,North of Chequesset Inn and Neck Road,,Round in 1916-,305,141,141_14555.pdf.png
4674,,rubbing stone,allah dale florida ,13873,Large shell heaps on west shore of Halifax River north of Rose May Allandale0 Florida.,,La Plata River,,Round in 1915-,520,141,141_13873.pdf.png
7950,.,knife,lake in temiscamie river miles from mouth ,9232,,Me. 152/7,,Photo.No.,collected by Murray H. Rogers,Orig.No.,118,118_9232.pdf.png
4505,,Potsherd,bailey far me shore oak bag go away no ,13389,"10 top layer crushed shell and humusz 7""is.",M50/1,Drake's Farm,Photo.No.,,0rig.No.5,137,137_13389.pdf.png
861,,Butt of noticed hanged arrowpoint.,blue hill falls lie ,2223,French of.2'Section 252. Above blow line.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2223.pdf.png
8565,,Modern Iroquois mask.,,7195,,,,,t f LeRoy Pence Emerson'Gowanda W. Y,,89,89_7195.pdf.png
5606,n,knife,south wellfleet massachusetts ,15202,,,Asparagus Farm of JP Brown,,Round in 1926. by J. F. Grown.,11461,141,141_15202.pdf.png
3254,.,Fragment of slate whetstone),ellsworth fall maine ,9793,"West trench 48E - Grey heavily iron-flecked sit North 94"" x Last 7""'depth 21'3(Was. from BSB(-5))",M39/7,Wasp Island,Photo.No.,Elliptical in section. C(c. it n 41,TT48E.4,125,125_9793.pdf.png
6770,m,decorated shoulder fragment of pot,in un by not tawasaga two since co on t,13705,L of 8 Concession 5 Excavation 2.,,Sidey-Mackay,thD-NQ,,2026hc,139,139_13705.pdf.png
7246,,Felt.,no with ma ,8835,"Area I. On i"" from 1011. 66""q from Of. 62'"" deep. in shell. Emmielow damn I.",M13/77,Great Beach Hill,,damn I.,,116,116_8835.pdf.png
7636,,Projectiles point,dennysville maine ,11774,50-1 Function of flowagte and grey clay.,Me. 152/7,Seneca River,,,-z /3,130,130_11774.pdf.png
1157,,Flat bone points - 3 pieces.,else hill ,2531,Grave R. k216 O on field chart. Flat side to L flat side ran 91 to find in connect with 5421631.,Me. 152/1,Nevin Shellheap,,Canada,,25,25_2531.pdf.png
6912,(5,knit f e,south wellfleet massachusetts ,14767,,,Lieutenant's Island,,Round by John E. Hopkinson in 1917.,,141,141_14767.pdf.png
8424,,khan Large copper peasant copper peasant still attached to bit of fur war-,near aim nlabrador ,1516,,,Nukasujuktok Island,Photo.No-,Exchange with Field Museum Chicago. Collected by Duncan Strong.,,17,17_1516.pdf.png
5103,,arrow head,hell flee massachusetts ,14453,Surface of shell layer on top of large sand bank on east shore of Wellfleet May.,,Between Indian Neck and Duck Creek,,Round in 1916.,,141,141_14453.pdf.png
2081,,Line Perforated hollow tooth.,blue hill fall me ,962,Of on of line. In mixed shell and human below 8. end of shell lens.,Me. 152/1,Nevin Shellheap,,,,3,3_0962.pdf.png
244,,Hameretone.,deny eastern of squibnocket pond martha vineyards mass ,93,Dec. 4 north of floor of stones.,M50/1,Hornblower Shell Heap,,,,2,2_0093.pdf.png
7005,,More,ellsworth fall maine ,9539,"bl"" below of 37"" north of 1 linen 10"" east of A line 9'down in compact clay",M39/7,Wasp Island,Photo.No.,U.2.,ON1-3,120,120_9539.pdf.png
6903,,Broken as,ellsworth fall maine ,9623,"32'below Of with one end on compact clay 3'2"" from 06 h'l'from Of",M39/7,Wasp Island,Photo.No.,can. - SEE We 7632 96-94'96-15,,120,120_9623.pdf.png
4237,,Tz tool fragment('.7),mine her sat uwestshore east am per am maine ,13047,"Testl0 oh"" is.",Me. 152/7,Mincher's Point,Photo.No.,,0rig.No. 076-,137,137_13047.pdf.png
6527,,Not shed.,richmond montario ny ,1950,,,Reed.,,Prehistoric Seneca. Exchange with Municipal Museum Rochester N Y.,426,23,23_1950.pdf.png
7985,30--American Antiquity Vol. XIL Plato of I,Hamnerntone or large my,,9310,,,,,collected by Edward Rogers,,118,118_9310.pdf.png
750,,Broken peasant.,blue hill falls lie ,2111,French of.31 Section of. Fixed shell.,Me. 152/1,Nevin Shellheap,Photo.No.,,2403,25,25_2111.pdf.png
654,,Butt of hanged arrowpoint.,blue hill fell ame ,2014,French of.3'Section of. Bottom of black human and pebbles.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2014.pdf.png
91,,Ship,mass ,7362,Excavated from ancient surface.,M39/7,Grassy Island,,Collected by E.B. Delabarre.,1264,103,103_7362.pdf.png
3939,,Ships,near center of shore lake mallein ,12576,S urea c e,,,Photo.No.,,,134,134_12576.pdf.png
5086,(5,5 crater,well flee massachusetts ,14435,Dug from shell layer on top of large sand bank on east shore of Wellfleet May.,,Between Indian Neck and Duck Creek,,r'round in 1916.,,141,141_14435.pdf.png
8311,,Line Rectangular whetstone.,near aim nlabrador ,1495,,,Nukasujuktok Island,Photo.No.,Sub Exchange with Field Museum Chicago. Collected by Duncan Strong.,17 7210,17,17_1495.pdf.png
4705,,fragment of a whipped implement,so uwellfleet mass ,13917,,,"Indian Neck, Lieutenant's Island, or vic",Photo.No.,Round in 1909.,,141,141_13917.pdf.png
6963,5 go.,Ship,el is worth falls maine ,9536,355m below of a east of B mmm 31'north of 2 line in granular clay. 3. SEE ALSoz,M39/7,Wasp Island,,occur/z 3. SEE ALSoz Q522 45/34,A2 -3,120,120_9536.pdf.png
5980,,Arrowhead.,newjersey ,1664,,,"Bartlet Shellheap, NJ",,Exchange with University Museum Philadelphia.,29-113 45,20,20_1664.pdf.png
6359,,Fragmentary obsidian artifice.,southern oregon ,4125,,,,,Purchased from Major 0.8. MoClearL Portlanm Oregon by W.K. Forehead.,,30,30_4125.pdf.png
140,,Butt of arrow point,mass ,7424,Round on surface.,M39/7,Grassy Island,,Collected by E.B. Delabarre.,1861,103,103_7424.pdf.png
6690,,cylindrical bead made from bone,not tawasaga two usimcoe you on t,13773,,,Side y-J'viackay,Photo.No.,,20760e,139,139_13773.pdf.png
1007,,Perforated butt of harpoon.,blue hill falls lie ,2372,French 10.1 Unction 913.111 3.13 below top of he p it C/ze. corner 410m.,Me. 152/1,Nevin Shellheap,,Ranch,,25,25_2372.pdf.png
1360,,whipped lake.,fall the ,2749,French of'Section 512. In Stratum I.,Me. 152/1,Nevin Shellheap,Photo.No.,,1183,25,25_2749.pdf.png
4328,,Projectiles point,inches sat westshore east bay perry me ,13167,L a ye I'5.,Me. 152/7,Mincher's Point,,Ranks(315) Located by Or. I.W. Kingsbury0 Merry He.,165,137,137_13167.pdf.png
5928,,Arrowpoint.,burlington county newjersey ,1610,,,,,Exchange with University Museung Philadelphia.,176,20,20_1610.pdf.png
5771,,reject,wellfleet massachusetts ,15481,,,West Shore of Griffin Island,,Round in 1930.,1766,141,141_15481.pdf.png
6667,,Unfinished stone adve.,pick to count lnovascotia ,13518,surface of shell heap near landing.,,McDonald's Farm0 Olding Island,,,,139,139_13518.pdf.png
8608,,"5"" felt",original outlet on east snore of thompson lake ,11955,Tula a ce 5,Me. 152/1,The Boats,Photo.No.,Located by W. Word,0rig.No.-16,131,131_11955.pdf.png
1556,,Broken adve.,blue nl falls ll ,2945,French 10.2 Section 1013. In shell lens along south side of section.,Me. 152/1,Nevin Shellheap,Photo.No.,,3979,25,25_2945.pdf.png
4568,,Whetstone made of sandstone,alone base novascotia ,13491,Clock 115 general digging.,,Weisner Shellheap,,,,139,139_13491.pdf.png
6889,,Arrowpoint.,new rattle for mass ,6397,,M. 59/63,North Truro Site,o.,G. i f t of Maurice Sobbing Attleborm Pass.,,44,44_6397.pdf.png
2625,,Irkuuxlud'. 901115,g,8313,". J(.'4 i) 1'.'"" 73-7 7's.-. f",,ii .,,,5 a,110,110_8313.pdf.png
7141,m,133 7 is,am wet of qu let horse upon territory ,12828,of Plans sit.,,1143.1 9 .7 085,,1 -.. - is r.J. Tutor notes Took h 9. up.,97 .,135,135_12828.pdf.png
6919,.,Fragrant of rocket-marked pottery,ellsworth fall maine ,9527,"10"" below mark on Late Oh -(-5"") 10"" north of line in 17'east of B line in sandy clay and grass roots",M39/7,Wasp Island,,oct u'fig 3-D(STURBEDf 555 so 952g,AL-l,120,120_9527.pdf.png
77,,the Arrow point,mass ,7347,gideon From the surface of the beach and flats along and below the western bank of the seat.,M39/7,Grassy Island,,Collected by Johnson Bryan Cause Benninghoff.,,102,102_7347.pdf.png
4683,,Pottery scraped,annandale florida ,13887,Large shell heaps on west shore of Halifax Given north of Rose am Allarrdalm Florida.,,La Plata River,,Round in 1915.,529,141,141_13887.pdf.png
2424,,Quart arrow point.,andover li as s,6951,Round April 6 1894.,M12/43,,,Lift of Arthur 1.4. Hofmanm Ballardvalm last.,1 2 3,83,83_6951.pdf.png
3783,,Corner,otisfield come thompson lake lie ,11936,51111102106,Me. 152/7,"Otisfield, Maine",Photo.No.,For'd Collection.,Orig.No.-13,131,131_11936.pdf.png
7890,,flag. knife,lake in temiscamie lively miles from mouth ,9235,,Me. 152/7,,Photo.No.,,,118,118_9235.pdf.png
4581,,Rubbing stone of iron ore,pick to count lnovascotia ,13537,s'tuatmnbaster'n shell heap-,,Merigomish,PhotO-NO-,,,139,139_13537.pdf.png
6740,',decorated rim fragment,not tawasaga two usimcoe oho it ,13749,neck vat ion 5.,,Sidey-Mackay,Photo.No-,,206 57,139,139_13749.pdf.png
8428,,Broken nodule iron parties.,min september harbor outside na inn labrador ,1408,,,,PhotO-NO-,Summon Exchange with Field Museum Chicago. Collected by Duncan Strong.,17 7136,17,17_1408.pdf.png
7318,,use Some -remove po ft. tedelu/to,ipswich inn ,8959,"no r.(b 1312. 33'from the.28"" from him. In deep. in brown shy(no shell ln3191's). i"" below date I.",M13/77,Great Beach Hill,,shell ln3191's). below date I. 1..l'..l - 410.1 xfrfr -,94,116,116_8959.pdf.png
6753,',discoid shale beam perforated but edges left in broken condition,not tawasaga two usimcoe oho it ,13770,O.,,Side y-Mackay,PhOtO-NO-,,509,139,139_13770.pdf.png
354,,1 quart arrowpoint.,eastern of squibnocket pond martha vine bald mass ,206,In shell 805.,M50/1,Hornblower Shell Heap,Photo.No.,,,2,2_0206.pdf.png
8392,,Small model of statute lamp.,grave non aim nlabrador ,1538,,,,Photo-No.,Exchange with Field Museum Chicago. Collected by Duncan Strong.,177063,17,17_1538.pdf.png
824,l may,How Your double ended bone awls - 3 broken.,de he blue hill fall she ,2186,nm my Grave 9'burial 1. 315 on field chart. Running east-west from head of east femur.,Me. 152/1,Nevin Shellheap,,Rumdu,,25,25_2186.pdf.png
6286,,the Perforated stone or head of soapstone.,channel islands california ,4045,Pal.,,,PhotO-NO-,Exchange with Southwest Museum'Os Angeles'Pal.,,28,28_4045.pdf.png
3352,585g,Thumbnail scraped,ellsworth fall maine ,9849,"Ll - Grass roots. 54"" North x 22"" West of of depth 4"" 0551/19- 3 555 ALSoz",M39/7,Wasp Island,Photo.No.,,,125,125_9849.jpg.png
1497,,Plummet.,blue nl fall me ,2886,French 113.3 Section Of. In human and pebbles.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2886.pdf.png
2175,,Potshe rd.,blue hill maine ,5184,of. Charcoal flecked with shell.,Me. 152/7,Richard's Shellheap,,,R1603,32,32_5184.pdf.png
766,,Joint of bone needle.,blue hill falls me ,2127,of. Under post knocked over by canals in undisturbed black human.,Me. 152/1,Nevin Shellheap,PhnO-Nb.,,,25,25_2127.pdf.png
7583,,Steep end scraped yellow chart,is win mass ,8771,"Area L Q. L 15"" from Of 59"" from Of 5"" deep in she 225 below date I.",Me. 152/7,Great Beach Hill,Photo.No.,,,116,116_8771.pdf.png
7608,,one bead,is win ma ,8887,"Area. I. Q. let 36"" from 19K'48"" from 18K. 6"" deep. in shell'ask"" below date I.",He.152/1,Great Beach Hill,,,379,116,116_8887.pdf.png
2676,ff,get of errowpoint,alaskan of no a we of mate for se upon labor ri tow ,12822,"Am"" face e.",,mile 1055,,p.J. Upon NOtPS. Ilromchz'o cold action.,O 12 .,135,135_12822.pdf.png
3326,,Lip of whipped point chest,ellsworth fell maine ,9835,"of - 31"" North x 34"" Yes depth 245""",M39/7,Wasp Island,,Org. 2.4,co .5,125,125_9835.jpg.png
4883,,fragment of whipped implement,wellfleet massachusetts ,14175,Ku on Top of large sane bank on east side of Wellfleet may be- tweed Indian Neck and Down Love.,,Between Indian Neck and Town Cove,,Round in him.,358,141,141_14175.pdf.png
18,,One awl.,squibnocket head southwest side of martha spine arm mass ,48,Dear ton of upper shells.,M50/1,Squibnocket Cliff Shellheap,PhOtO-NO-,,30/17,1,1_0048.pdf.png
5298,,spear head,south wellfleet massachusetts ,14685,,,Pleasant Point,Photo.No.,Round by John E. Hepkinson in 1918.,9117,141,141_14685.pdf.png
2490,,Arrow point.,andover mass ,7017,Round Kept. 110 1927.,M12/43,,,Lift of Arthur of. Hofmanm Ballardvalm Pass.,11 1,83,83_7017.pdf.png
8398,O,a large stone nodules. one of quart- site'one close-gained yellow stone,mi of jack lanes an labrador ,1284,,,NJV. Corners.,MNO.,Exchange with Field Museum Chicago. Collected by Duncan Strong.,177006,17,17_1284.pdf.png
8246,,Gray flint point noticed.,min davis in let labrador ,1321,,,Big Island,Photo.N0-,Exchange with Field Museum'Chicago. Collected by Duncan Strong.,Orig.No.177042,17,17_1321.pdf.png
5395,,scraped,south wellfleet massachusetts ,14795,Ku in And extending southwest into meadow from point where Indian River enters the meadow.,,Indian River,,Round in 1918.,1002,141,141_14795.pdf.png
2744,,Thumbnail scraped falsity,ipswich mass ,8768,"Area I'Q. BIL 71"" from Of. Of"" from am 635"" deep in brown clay(no shell here) 25 below da turn I",M39/7,Great Beach Hill,Photo.No.,,0rig.No. 160,116,116_8768.pdf.png
6406,,Drag. knife,one quarter mile northeast of site west short make tournemine ,11191,Our f a c 9,,,Photo.No.,,,126,126_11191.pdf.png
8060,I,Worked fragment'relate,lowell sin paul long ,8614,"From test bet'men gamut and road. 34.7"" into 1'3'95"" total depth 33"" now datuml",M12/43,Graham Site,Photo.No.,,Orig.No.,115,115_8614.pdf.png
5795,,7 arrowpoints - quart.,howard county maryland ,1199,,,,Photo.No.,Exchange with 0.8. National Museum. Collected by J.D. acquire.,208886 2088 36,16,16_1199.pdf.png
8301,,Large piece of whalebone perforated(saved in 3 pa. for transportation),near hopedale nlabrador ,1345,,,Black Island,Photo.No.,Exchange with Field Museum Chicago. Collected by Duncan Strong.,177091,17,17_1345.pdf.png
1379,,Joint of arrowpoint.,falls me ,2768,French 10.1 Section 511. Upper shell near 412 line.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2768.pdf.png
5156,,lake,south well flee minds such sat to,14518,,,Pleasant Point,Photo.No.,Round by John E. Hopkinson in 1916.,769,141,141_14518.pdf.png
5250,,arrow head,well flee massachusetts ,14630,North shore of small none in back of LMequesset inn.,,Chequesset Inn,,Round in 1917.,885,141,141_14630.pdf.png
4054,,Ships,small point up art way between lake ashuapmuchuan and la oh you gin he by way of portages route ,12697,Our a c 6,M 50/9,,Photo.No.,,Orig.No.,134,134_12697.pdf.png
1422,,Hameretono.,fall me ,2811,Grave 8. is on field chart.,Me. 152/1,Nevin Shellheap,Photo.No.,,3303,25,25_2811.pdf.png
4036,,Scraped,left bank charme river opposite trace not ,12674,5 u r f a c e,H35,,,,,134,134_12674.pdf.png
5753,,unfinished whipped implements(4),true mass she set to,15453,,,North side of small pond-swamp hollow (kettle hole) north of,,Round. by John E. Hopkinson in 1930.,1738,141,141_15453.pdf.png
5741,,fragment of whipped implement,north true ma as ache set to,15435,Settle Sole site,,West of Corn Hill,,Round by Warren K. Forehead in 1930.,1720,141,141_15435.pdf.png
3441,,Ships,lane lake ,7771,and group,,Mile 1074,,7/17/44,7 4-1 4,108,108_7771.pdf.png
1076,,now Due.,he dye due hill fell sue ,2447,of. In mixed fill and human 18.3 line 600m. east of of.3 of.,Me. 152/1,Nevin Shellheap,,,,25,25_2447.pdf.png
3079,,Fotsherd,all s or th fallen maine ,10152,"Of - Topsoil. 50"" Form 6-22-""1'rest of of depth 53""",M39/7,Wasp Island,PhOtO-NO-,/M M/0/02,F7 . 14,125,125_10152.jpg.png
2905,,Small potsherd,ellsworth fall maine ,10024,Of - in North x 6 felt of Of. Topsoil. Depth 35(leveled from Of( 4),,Wasp Island,Photo.No.,Faint senate-stamped('f) impression grit temper ff/JAAA. L244 of(Adaiuilh OWT- I g(f,Orig.No.F6.L3-5,125,125_10024.jpg.png
1254,,Large plumes.,blue hill fell a,2638,4372. Feet in human and nebFlgs.,Me. 152/1,Nevin Shellheap,PhotO-NO-,,Orig.No.1393,25,25_2638.pdf.png
3283,.,Trianguloim stemmed sharp corners,te or is bury ,8374,suwnbnSquare 1. son from A sew from 3 sn into of total depth 23 - below durum.,M12/43,Pr 1 ngl e,,,6,111,111_8374.pdf.png
7125,,,alaska iv th on ferri to ,12835,Surface.,,,,f. J. YULTOYI Does.,131,135,135_12835.pdf.png
445,,2 arrowpoints.,law no least end of squibnocket pond martha vineyards mass ,298,408'in shell.,M50/1,Hornblower Shell Heap,,,,2,2_0298.pdf.png
