,Cat Number,Site Number,Locality,Site,Name,Situation
2775,Cat. No. 1041,C 7/1,"Locality North shore of Upper ‘
Reservoir, East K1111:",Site E .D . Prey.,Nune Worked ?ake of quartz,Situation In base of lbam.
2776,I Cat. No. 104:,C 7/1,"Locality North shore of Upper <
Reservoir, East K1111!",Site E.D . Prey.,Nun: Worked quarry piece of,Situation In base of loam.
2777,,C 7/1,"Site No. 0 7/1

Locality North shore of_Upper C

D-___A__Q~, .-___,","n— O‘VIABM-Ly WUJ-‘lcu DI'OKen

quartzite.",,"neservoir, East Killingly, Conn."
2778,,C 7/1,"Site No. c 7/1

Locality North shore_of‘ U23??? “",“we 510K811 arrowhead .,,"I Reservoir, East Killingly, Conn."
2779,,C 7/1,"Site No. a 7/1

Locality yorth shore_of Upper C",mun: £01111? OI quartzne arr,,"Reservoir, East Xillingly, Conn."
2780,,C 7/1,"Site No. c 7/1

Locality North shore of Upper

n-A_____.1.. 1r--4. V1111.",UGDU V; “Hub val-Irv mud-.1,,"I neservou‘, Last nullngiy, uonn."
2781,,C 7/1,"Site No. a 7/1

Locality North shore“ of nger C

D..—————9 ,","""V‘?u‘y DLLGPCU qquIZZI

arrowhead .",,"I neservoir, East Killingly, Conn."
2782,,C 7/1,"Site No. C 7/1

Locality North shore of Upper <

pang-avoAI-n ?-_& VJ‘I'IJ_",voucu' u z uurULBDuCK .,,"I nut-serVOII', hast Allllng‘ly, Conn."
2783,,C 7/1,"Site No. C 7/1

Locality North shore of Upper <

pannva-I-n 1?-..4. V4311.",—.——v va- ‘1‘.“- vu-vv “All.,,"neservoxr, 248.812 Allllngiy, uonn."
2784,I Cat. No. 105(,C 7/1,"Locality North shore of Upper C
Reservoir, East K1111:",Site E.D. Prey.,Name Broken worked piece of,"Situation In loam 5"" above the base of loam."
2785,Cat. No. 1051,C 7/1,"Locality North shore of Uppe
Reservoir, East K11",Site E.D. Prey.,Name Quartz scraper .,Situation A1; base of loam.
2786,Cat. No. 10 52,C 7/1,"Locality North shore of Uppe
Reservoir, East K11",Site E.D. Prey.,"1
Name Worked piece of qua:","Situation In loam 4"" above base of loam."
2787,I Cat. No. 105,C 7/1,"Locality North shore of Upper C
Reservoir, East Killin",Site E.D. Prey.,Nme Quartzite chip.,"Situation In loam 5"" above base of loam."
2788,Cat. No. 1054,C 7/1,"Locality North shore of U pe
Reservoir, East 11",Site E.D . Prey.,Name Quart zite chopper .,Situation From base of loam to yellow sand.
2789,| Cat. No. 105!,C 7/1,"Locality North shore of U per C
Reservoir, East 1111:",Site E.D . Prey.,Name 0111p of chalcedony.,"Situation In yellow sand 3"" below base of loam."
2790,Cat. No. 1056,C 7/1,"Locality North shore of Upper (
Reservoir, East K1111:",Site E.D. Prey.,Name Worked piece of quartz,"Situation In loam 7"" above base of loam."
2791,Cat. No. 1057,C 7/1,"Locality North shore of U pe
Reservoir, East 11?",Site E.D . Prey.,Name Broken quartzite kn:,"Sham“ One part found_ at ba§e_ of 19am, ojcpep 1r} yellow"
2792,Cat. No. 1058,C 7/1,"Umd?y North shore of Uppe
Reservoir, East Kil",Site 'E.D. Prey.,Name Quartz knife.,Situation At base of loam.
2793,| Cat. No. 1055,C 7/1,"Locality North shore of Upper C
Reservoir, East Killir",Site E.D. Prey.,Name Base of quartzite knif,"Situation In yellow sand, 1"" below base of loam."
2794,| Cat. No. 106C,C 7/1,"Locality North shore of Upper C
Reservoir, East K1111!",Site E.D. Prey.,Name Small quartz hammersto,Situation At base of‘loam.
2795,| Cat. No. 106],C 7/1,"Locality North shore of Upper c
Reservoir, East K1111:",Site E.D. Prey.,Name Quartzite knife.,"Situation In yellow sand 1"" below base of loam."
2796,| Cat. No. 106;,C 7/3,"Wit? Pomfret, Conn.",Site Pomfret Land 1118 -,Name Base of quartzite apea,Sim?m Unknown.
2797,Cat. No. 1063,C 7/3,"Locality Pomfret , Conn .",Site Pomfret Landing.,Ntme Base of quartzite knif,
2798,Cat. No. 1064,C 7/3,"Locality Pomfret, Conn.",Site Pomfret Landing.,Name Notched sinker.,SituatiOn Unknown .
2799,Cat. No. 1065,C 14/1,"Locality Plainfield township,
N.E. of head of Moosu",Site Moosup Camp Site.,Nme Quartzite chip.,Situation Unknown .
2800,Cat. No. 1066,C 14/1,"Locality Plainfield township,
N.E. of head of 1400311",Site Moosup Camp Site.,Name Base of quartzite too],Situation Unknown .
2801,l Cat.No. 1067,C 14/1,"Locality Plainfield township, I
N.E~ of head of Moosu]",Site Moosup Camp Site.,Name Base of arrowhead.,"Situation Unknown ,"
2802,Cat. No. 1068,C 14/1,"Locality Plainfield township,
N.E. of head of Moosuj",Site Moogup Camp Site.,Name Quartz spearhead .,Situation Unknown .
2803,| Cat. No. 1069,C 14/1,"Locality Plainfield township, (
N.E. of head of Moosul",Site Moosup Camp site.,Name Triangular quartz arro,Situatim Unknown.
2804,"| Cat. No. 10'""",C 14/1,"Locality Plainfield township, ‘
N. E. of head of Moosu.",Site Moosup Camp site .,Name Coiled pot' shard.,Situation Unknown .
2805,Cat. No. 1071,,"Locality Plum Island, Mass.",Site Shell Heap #1 .,Name Bone and .,Situation Unknown .
2806,Cat. No. 1073,,"Locality Plum Island, Mass.",Site Shell Heap #1.,Name Piece of cut bone.,Situation Unknown .
2807,Cat. No. 1073,,,"Site

She","Name

Pie",Situation Unknown .
2808,Cat. No. 1074,,"Locality Plum Island, Mass.",Site Shell Heap #1.,Name Single-barbed bone fie,Situatim Unknown .
2809,Cat. No. 1188,,"Locality Anne Arundel County, 1","Site Gaither‘ a farm, South",Name Large blade - 8.1311111:,Situation
2810,Cat. No. 1189,,"Locality Anne Amndel County, 1","Site

Gaither' s farm, South",Name Large blade - rhyolite,Situation
2811,I Cat. No. 1191,,Locality Anne Amndel County. 1,Site,' Name Celt.,Situation
2812,Cat. No. 1191,,"Locality Anne Amndel County, 1",Site,Nine 5 arrovpoints.,Situation
2813,| Cat. No. 119:,,"Locality Anne Arundel County, 1",Site,Name 4 arrowpointa .,Situation
2814,l Cat.No. 119:,,"Locality Anne Amndel County, 1",Site,Name 5 arrowpointa.,Situation
2815,| Cat. No. 1194,,"Locality Anne Arundel County, 3",Site,Nine 2 rhyoiite scraper.,Situation
2816,| Cat. No. 1195,,"Locality Anne Arundel County, 1",Site,NE“ 2 blades .,Situation
2817,Cat. No. 1196,,"Locality Piscataway, Maryland.",Site,Name Chipped ax.,Situation
2818,I Cat. No. 119‘,,"Locality Prince George 00-, 0P2",Site,NW 3 quartz rejects.,Situation
2819,I Cat. No. 119‘,,"Locality Howard County, Maryla.‘",Site,Name 11 arrowpoints - 1‘1:on,Situation
2820,Cat. No. 1199,,"Locality Howard County, Maryla:",Site,Name 7 arrowpointa - quartz,Situation
2821,I Cat. No. 12m,,"Locality Charles County, Maryl:",Site,Name 5 quartzite arrowpoint,Situation
2822,I Cat.No. 130,,"Locality Charles County, Maryll",Site,Name 9 quartz arrowpoints.,Situation
2823,I Cat. No. 120;,,"\
Locality Charles 00., Maryland",Site Wm. Brent's fangt‘betvl,Name 4 array-points.,Situation
2824,I Cat. No. 130:,,"Locality Charles 60., Maryland",Site,Nme Pottery fragment .,Situation
2825,Cat. No. 1204,,"Locality Near Alberton, L",Site Rock shelter on,Name 3 pottery fragme,Situation
2826,Cat. No. 1305,,Locality Marylar,Site,Name 15 pott,Situation
2827,| Cat. No. 1301,,"Locality Mannington Tp., Salem",Site,Name 8 pottery fragments.,Situation
2828,| Cat. No. 1301,,Locality Mound in Ohio (7),Site,"Name Drilled tablet, slate.",Situation
2829,Cat. No. 1208,,Locality Little F,Site,Name 15 potte,Situation
2830,| Cat. No. 1201,,"Locality Little Falls, Virgini:",Site,Name 13 pottery fragments.,Situation
2831,| Cat. No. 1311,,"‘ Locality Kanawha Valley, W. Va‘","Site Smith' a farm,",Name Arrowpoint.,Situation
2832,I Cat. No. 131:,,"Locality Kanawha. Valley, W.Va.",Site Smith' 3 farm.,Name Blades - black chart.,Situation
2833,| Cat. No. 131:,,"Locality Kanawha. Valley, W. Va.",Site smith! a farm (mound) .,Name Knife - yellow.,Situation
2834,Cat. No. 1313,,Locality Kanawha,Site Smith' 8,Name Celt - 1,Situation Surface .
2835,I Cat. No. 1214,,"Locality Kanawha Valley, W.Va.","Site (Creel Hound) , Bkeletc","Name

Blade .",Situation
2836,I Cat. No. 121:,,"Locality Charleston, Kanawha v","Site

(mound) Evidently Sm11",Nme Drills. (3),Situation
2837,I Cat. No. 1311,,"Locality Charleston, Kanawha V:","Site

(mound)Ev1dent1y Smith",Name Scraper.,Situation
2838,Cat. No. 1317,,"Locality Charleston, Kanawha V:",Site (mound) Evidently Emit,Name Arrowpoints. (5),Situation
2839,Cat. No. 1213,,"Locality Charleston , Kanawh",Site Evidently Smith' a :,Name Arrowpointa and b1:,SituatiOn Surface .
2840,I Cat. No. 1311,,"‘ Locality Charleston, Xanawha Vt",Site Evidently Smith' a fart:,Name Implement .,Situation Surface .
2841,Cat. No. 1220,,"Locality 6 mi. below Charlestoz
Valley, W.Va.","Site Grave mounds,- Smith' 8",Name Blade or hoe.,Situation
2842,Cat. No. 1331,,"Locality 6 mi. below Char
Valley, W.Va.","Site Grave mounds , Smi",Name Arrowpoint .,Situation
2843,"I Cut. No. 1,22",,"J Locality Kanawha. Valley, w.Va.","Site Catacomb mound , Smith'",Name Scraper.,Situation
2844,I Cat. No. 132:,,"Locality Kanawha Valley, W. Va.",Site,Name Arrowheads . (4),Situation
2845,Cat. No. 1324,,"Locality 6 mi. below Charleatm
Valley, W.Va..","Site Field, Smith' a farm.",Name Arrowpoint .,Situation
2846,| Cat. No. 132!,,"l Locality Kanawha Valley, W.Va.",Site,Name 2 arrmlpointa.,Situation Surface .
2847,Cat. No. 1326,,"Locality Kanawha Valley, W. Va.",Site,Name 2 arrmv‘pointa.,Situation Surface .
2848,Cat. No. 1227,,Locality Kanawha,Site Coal Ri‘,Name Arrowpo,Situation
2849,Cat. No. 1228,,"Locality Romney, Ramp 3111 re",Site,Name a arrowpointa.,Situation
2850,Cat. No. 1329,,8. of Moorefi,Site Mound on J. Fisher',Name Flake.,Situation
2851,Cat. No. 1230,,"Locality Romney , Hampsh",Site,Name Blade and sore,Situation Surface.
2852,Cat. No. 1231,,Locality Kamwha V3.11,Site,Name Knife.,Situation
2853,Cat. No. 1332,,Locality Charles or Prince G,Site,Name Arrowhead.,Situation
2854,Cat. No. 1233,,"Locality Jack Lanes Bay, Labrac","Si“ Sharp Hill, Quarry Sit","”law——

Name Broken sandsténe “?u""",Situation
2855,Cat. NO. 1234,,"1‘00““? Jack Lanes Bay, Labrat","Site Sharp H111, Quarry Sit",Name 4- fgagxgents (bgokep) _c,Situation
2856,Cat. No. 1235,,Locality Jack Lanes,5‘“ Sharp H111,Name Large brok,Situation
2857,Cat. No. 1235,,"Wit? Jack Lanes Bay, La","Site Sharp H111 , Quarry","Name 14 sharp—edge flab

-L,‘ _ _s__.A_",Situation
2858,Cat. No. 1337,,"“can”! Jack Lanes Bay, Labral","Site Sharp H111, Quarry Sit",Nme Broken quartapoint oz,Situation
2859,Cat. No. 1233,,Locality Jack Lanes,Sharp H111,Name Broken qua.,Situation
2860,Cat. No. 1239,,Imam? Jack Lane's,"Site Sharp H111 ,",Name Chipped ate},Situation
2861,Cat. No. 1240,,"Locality Jack Lanes Bay, Labrac‘","Site Sharp H111, Quarry Sit",Name Broken red stone P011115,Situation
2862,| Cat. No. 134:,,"Locality Jack Lanes Bay, Labra‘","Site sharp H111, Quarry 811",Name 3 chips of white quar1,Situation
2863,Cat. No. 1242,,"Wality Jack Lane's Bay, Lab:",Site Quarry Site.,Name Small kni:fe or scrape,Situation
2864,I Cat. No. 134;,,"Locality Sharp H111, Jack Lane
Labrador.",Site Sharp Hill.,Name small chalcedony scraz,Situation
2865,Cat. NO- 1244,,LOW“? Jack Lane ' e,Site Sharp H111 .,Name Quartz scra;,Situation
2866,Cat. No. 1245,,"Locality Jack Lane's Bay, La‘:","Site

Sharp H111.",Name Small scraper or kni,Situation
2867,I Cat. No. 1241,,"LocalityJack Lane's Bay, Labra:",Site Sharp Hill.,Name Small piece of chipped,Situation
2868,I Cat. No. 134',,"‘ WW Jack Lane's Bay, Labr‘",Site Sharp Hill.,Name Much eroded serpentine,Situation
2869,I Cat. No. 124:,,"1 10°31“? Jack Lane's Bay, Labra",". to edge, probably a kr.
Site Sharp 3111,",Name Rectangula; gectgon of,Situation
2870,Cat. No. 1349,,"Locality Jack Lane's Bay, Labr:","Site

Sharp H111 .",Name Broken piece of flat e,Situation
2871,| Cat. No. 125(,,"WW Jack Lane's Bay, Labre",Site Sharp Hill.,Name yarge»;:_ragm_en“t of brolg,Situation
2872,Cat. No. 1351,,"Locality Jack Lane's Bay, Labr:",Site Sharp Hill .,Name Broken 11111 or pot. or,Situation
2873,I Cat. No. 135;,,"Locality Jack Lane's Bay, Labr:",Site Sharp H111 .,Name 3 fg'ag'gaentg of red 9a:,Situation
2874,Cat. No. 1353,,"Locality Jack Lane's Bay, Lab:",Site Sharp H111 .,"Nun: gozge of dark stone, 0",Situation
2875,I Cat. No. 125‘,,"“cant"" Jack Lane's Bay, Labr:","Site Sharp H111, Quarry Sit",Nlme Core of white quartz I,Situation
2876,I Cat. No. 125!,,"Locality Jack Lane's Bay, Labrz","Site

Sharp H111, marry Sit",Nine Granite hammeretone.,Situation
2877,Cat. No. 1256,,"Locality Jack Lane‘s Bay,","Site Sharp H111 , Quart.",Name grgy-bygwn hammer:,Situation
2878,I Cat. No. 1351,,"Locality Jack Lane's Bay, Labr:","Site Sharp 3111, Quarry Sit",Name Quartzite hammerstone.,Situation
2879,Cat. No. 1258,,"Locality Jack Lane's Bay, Labr:","Site

Sharp Hill, Quarry Sit",Name Chipped point of white,Situation
2880,I Cat. No. 1255,,"Wit? Jack Lane's Bay, Labre","Site Sharp Hill, Quarry Sit",Name chipped scraper (7) 0f,Situation
2881,Cat. No. 1260,,"Locality Jack Lane's Bay, Labrt","Site Sharp Hill, Quarry Sit",N'me Fragment of chipped qu,Situation
2882,Cat. No. 1251,,"Locality Jack Lane's Bay,","Site Sharp Hi 11 , Quarr",Name Chipped point qua,Situation
2883,Cat. No. 1262,,Locality Jack Lane's,"Site Sharp Hill ,",Name Large quart,Situation
2884,Cat. No. 1263,,"Locality Jack Lane's Bay, Labra","Site Sharp H111, Quarry Sit",Name quartzite scraper U)-,Situation
2885,Cat. No. 1234,,"Locality Jack Lane's Bay, Lab:","Site Sharp Hill, Quarry Bi",Name 6 chipped fragments o,Situation
2886,I Cat. No. 1255,,"Locality Jack Lane's Bay, Labre","Site Sharp H111, Quarry Sit",Name Amygdaloid blade of c1,Situation
2887,,,,,,Bay.
2888,,,"Site No.

Locality 40 mi. w. of Jack Lane",mm: cupped point of clear,,"\J

N. Labrador.

-v—sov"
2889,,,"Site No.

Locality 40 {111. w. of Jack Lane",mun: unlpped po1nt of‘claar,,"Q

N. Labrador."
2890,| Cat. No. 1361,,"Locality 40 mi. w. of Jack Lam
N. Labrador.",Site N.W. Corners Brook.,"Name Long, chipped point of",Situation
2891,I Cat. No. 1371,,"Locality 40 mi. w. of Jack Lani
N. Labrador.",Site NJV. Corners Brook.,TNamc ghippadgoint of dark,Situation
2892,,,"Site No.

Locality 40 1111. w. of Jack Lane",name Chipped point of dark,,"__J

N. Labrador.

—-——-v — “""J ,"
2893,,,"Site No.

Locality 40 mi

‘7. Of 1180]! TA-na","name Tip of large, dark aha
chipped point.",,"‘ '- “WA mum's may,
\J N. Labrador."
2894,,,"Site N 0.

Locality 40 mi

w. of Jan]: 1.9m.",,,"\J

N. ié?r§&o;:

vuun umc' B

Day ,"
2895,,,"Site No.

Locality 40 m1. w. of Jack Lam","”GAB u Ulla-LU uuuuy p0 In]

yellow.

Butt broken c",,i N . Labrador.
2896,,,"Site No.

Locality 40 m. w. of Jack Lane",a oroxen clear chalc,,"N. Labrgdor.

—--— v a“, ,"
2897,,,"Site No.

Locality 40 1211. w: of Jack Lane",";u&uv

any.

brugmanua 01 0111",,?—l N . Labrador .
2898,,,"Site No.

Locality 40 1311, w. of Jack Lane","n-uw v.1.uur place cmoedony
Evidently shaped to ma",,N. Labrador.
2899,,,"Site No.

Locality 40 mini. of Jack Lana","name Place chipped (1118.2122-
scraper.",,"V— 'w“ ?lm‘v' D Day,

N. Labréaor."
2900,,,"Site No.

Locality 40 m1. 1!. of Jack Lam

-L___1__","“we ILUUU u; Uu yyw LII-UV

crossed by white lines",,I N . Labrador o
2901,,,"Site No.

Locality 40 m1. w. of Jack Lam!",".LU 0111.113 Lu. ""Luv: \01'
chalcedony.",,I N . Labrador .
2902,Cat. No. 1381,,N. Labrador.,Site N.w. Corners .,"Name Flat piece of I

._.-_1--4l _4I ILL __",Situation
2903,Cat. No. 1282,,"Locality 40 m1. w. of Jack I
N. Labrador.",Site N.W. Corners.,"I
Name Small flat rock use",Situation
2904,Cat. No. 1233,,"Locality 40 mi. 1!. of Jack
N. Labrador.",Site N.W. Corners.,Name Well-chipped. green,Situation
2905,I Cat. No. 1284,,"Locality 40 mi. N. of Jack Lane
N. Labrador.",Site N . W. Corners.,"Name 2_]_.e.rge atoye nodulga,",Situation
2906,| Cat. No. 1385,,"Locality 40 mi. w. of Jack Lani
N. Labrador.",Site N.W. Corners.,Name Core of gray atone.,Situation
2907,Cat. No. 1288,,"Locality 15 mi. 80. of Jack Lax
N. Labrador.",Site Iindy Tickle.,"Name 0911; or chisel of brow

-Ln...‘ __‘..—A AA..-",Situation
2908,| Cat. No. 1231,,"Locality 15 mi. 30. of Jack Lad
N. Labrador.",Site Windy Tickle .,Name Gray gtoga 0811;. Bad],Situation
2909,I Cat. No. 133:,,"Locality 15 mi. 30. of Jack Lax
N. Labrador.",Site Windy Tickle.,Name Bad1y_ergded oelt. 0f,Situation
2910,Cat. No. 1289,,"Locality 15 mi. 30. of Jack Lax
N. Labrador.",Site Windy Tickle.,"Name steatite ""pendant"", 81

‘ __.AA_—-L -—‘",Situation
2911,Cat. No. 1290,,"Locality 15 mi. 30. of Jack La:
N. Labrador.",Site Windy Tickle.,Name Finely chipped ohalced,Situation
2912,Cat. No. 1891,,"Locality 15 mi. so. of Jack La:
N. Labrador.",Site Windy Tickle.,"Name Well-chipped point, of

-L-‘I AA: A_._",Situation
2913,Cat. No. 1292,,"Locality 15 mi. 50. of Jack La;
N. Labrador.",Site Windy Tickle.,"Name Sp11t piece of ground

_'|_‘ A__1_14j _j,,-",Situation
2914,l Cat.No. 129:,,"Locality 15 mi. 30. of Jack _La1
N. Labrador.",Site Windy Tickle.,Name Granite; knife: ‘Opippe,Situation
2915,| Cat. No. 129‘.,,"Locality 15 mi. 50. of Jack La:
N. Labrador.",Site Windy Tickle .,"Name Ground slate point, 1::",Situation
2916,Cat. No. 1295,,"Locality 15 mi. so. of Jack Lam
N. Labrador.",Site Windy Tickle.,"Name 2 pieces of ?at slate

1.-__ ,,-_L_ .‘ __LJLA A",Situation
2917,l Cattle. 129E,,"Locality 15 mi. 30. of Jack LaJ
N. Labrador.",Site Windy T1 ckl e .,"Name Ground-stone point, ‘01",Situation
2918,| Cat. No. 1291,,"Locality 15 mi. so. of Jack La:
N. Labrador.",Site Windy Tickle.,"Name Ground-stone point, an",Situation
2919,l Cat.No. 129E,,"Locality 15 mi. 60. of Jack La:
N. Labrador.",Site Windy Tickle.,Name Chipped point of gray,Situation
2920,l Cat.No. 129‘.,,"Locality 15 mi. 30. of Jack La:
N. Labrador.",Site Windy Tickle .,Name Ewe 011:1];de pqipts of,.Situation
2921,I Cat. No. 1301,,"Locality 15 mi. 30. of Jack Lam
N. Labrador.",Site Windy Tickle .,Name Clear chalcedony point,Situation
2922,| Cat. No. 130],,"Locality 15 mi. 80. of Jack Lar
N. Labrador.",Site Windy Tickle.,Name Clear chalcedony point,Situation
2923,Cat. No. 1302,,"Locality 15 mi. 30. of Jack La:
N. Labrador.",Site Windy Tickle.,Name chipped point of clea:,Situation
2924,l Cat.No. 1303,,"Locality 15 m1. so. of Jack LBJ
N. Labrador.","\
Site Windy Tickle .",Name mute chalcedony point,Situation
2925,Cat. No. 1304,,"Locality 15 mi. so. of J
N. Labrador.",Site Windy Tickle .,"Name Small, flat p011",Situation
2926,l Cat.No. 1305,,"Locality 15 mi. 50. of Jack LBJ
N. Labrador.",Site Windy Tickle.,"Name Small, flat point. Oi",Situation
2927,l Cat.No. 130E,,"Locality 15 mi. so. of Jack Leu
N. Labrador.",Site Windy T1 okle .,"Name Small, flat point: 01

-1._‘| -__1 -_.~—",Situation
2928,Cat. No. 1307,,"Mmdky 15 mi. 3. of J
N. Labrador.",Site Windy Tickle .,Name 01 ear 0115.10 ado:,Situation
2929,Cat. No. 1303,,"Locality 15 mi. 3. of Jack Lam
N. Labrador.",Site Windy Tickle .,"Nme crude flat point. or

-1, -1 A _ J-_.,,",Situation
2930,Cat. No. 1309,,"Locality 15 miles a. of Jack L:
N. Labrador.",Site Windy Tickle.,Name Broken stemmed scrape:,Situation
2931,| Cat. No. 131(,,"Locality 15 mi. 5. of Jack Lan‘
N. Labrador.",Site Windy Tickle .,Name Broken stemmed knife.,Situation
2932,I Cat.No. 131:,,"Lmamw 15 mi. 3. of Jack Lanc
N. Labrador.",Site Windy Tickle.,Name Broken stewed knife.,Situation
2933,Cat. No. 1312,,"memw 15 mi. 3. of Jack Lan:
N. Labrador.",Site Windy Tickle.,Name crude ?ake retouohed,Situation
2934,Cat. No. 1313,,"deky 15 mi. 9. of Jack Lan:
N. Labrador.",Site Windy Tickle.,Name 5 broken chipped point,Situation
2935,Cat. No. 1314,,"Locality 15 mi. 3. of Jack Lam
N. Labrador.",Site Windy Tickle.,Name 2 chalcedony flakes.,Situation
2936,| Cat. No. 131!,,"meww 15 m1. 3. of Jack Lane
N. Labrador.",Site Windy Tickle.,"Name 15 pieces (small fragm

,- -Ln‘ L) _",Situation
2937,Cat. No. 1516,,"meEW 15 mi. 8. of Jack Lan‘
N. Labrador.",Site Windy Tickle .,"Name 14 fragments of bone,",Situation
2938,I Cat. No. 131',,"' Locality 15 mi. N. Davis Inlet,",Site Big Island.,Name Quartz scraper.,Situation
2939,Cat. No. 1318,,Locality 15 mi. N. Davis Inletl,,"Name Large red stone, notch",Situation
2940,Cat. No. 1319,,Locality 15 mi. N. Davis Inle,Site Big Island.,"Name Red stone, notched p",Situation
2941,Cat. No. mac,,Locality 15 miles N. Davis Inl‘,Site Big Island.,"Name Dull red. point, round,",Situation
2942,| Cat. No. 152],,"Locality 15 mi. N. Davis Inlet,",Site Big Island.,"Name Gray flint point, note",Situation
2943,I Cat. No. 132:,,I Locality 15 mi. N. Davis Inlet,Site Big Island .,"Name Gray flint point, notc",Situation
2944,I Cat. No. 133,,. Locality 15 mi. N. Davis Inlet,Site Big Island.,"Name

Notched gray flint poi",Situation
2945,Cat. No. 1334,,Locality 15 mi. N. Davis Inle,Site Big I Bland.,New Dark chalcedony poin‘,Situation
2946,Cat. No. 1385,,Locality 15 mi. N. Davis Inle,Site Big Island.,Name Clear chalcedony p011,Situation
2947,| Cat. No. 132E,,1 Locality 15 mi. N. Davis Inlet,Site Big Island.,"Name Broken point, dark.",Situation
2948,| Cat. No. 1381,,"Locality 15 mi. N. Davis Inlet,",Site Big Island.,Name 2 broken points of bro,Situation
2949,I Cat. No. 132E,,"Locality 15 mi. N. Davis Inlet,",Site Big Island.,"Name 2 broken points, one ‘0",Situation
2950,Cat. No. 1339,,Locality 15 mi. N. Davis Inlet,Site B 1 g I 31 and .,Name 2 broken points of red,Situation
2951,Cat. No. 1330,,Locality 15 mi. N. Davis Inle,". 111113, noucneo. 3110..
Site Big Island.","Name 2 pieces, a. broken:

-‘— _L_'I-_A______",Situation
2952,Cat. No. 1331,,Locality 15 mi. N. Davie Inlet,". Ir ants 01 cnlppcu L
Sm: Big geland.","Name 8 chipped fragments of

1...“ -_J _-‘I'I-— -&---",Situation
2953,Cat. No. 1332,,"Locality Probably Big Isld,
Inlet, N. Labrador.",Site,Name Notched red point.,Situation
2954,Cat. No. 1333,,"Locality Probably Big Isld, 15
Inlet, N. Labrador.",Site,Name Black flint point.,Situation
2955,I Cat.No. 1334,,"MW Near Hopedale, N. Lab]",Site Black Isld.,Name Harpoon head of ivory.,Situation
2956,Cat. No. 133 5,,"MW Near Hopedale, N. Lab:",Site Black Isld.,Name Harpoqn point 9; bone.,Situation
2957,I Cut. $10.. 1335,,"Locality Near Hopedale, N. Lab:",Site Black Iald.,NW Hypoon point. Broken,Situation
2958,Cat. No. 1337,,"Want? Near Hepedale, N. La",Site Black Isld.,Name Harpoon head of bone,Situation
2959,Cat. No. 1338,,"Locality Near Hopedale, N. I",Site Black Isld.,Nine Chipped point of cl,Situation
2960,Cat. No. 1339,,"Locality Near Hopedale, N. Lab:",Site Black Isld.,Name 7 pieces of worked box,Situation
2961,Cat. No. 1340,,"Locality Near Hopedale, N. Lab:",Site Black Isld .,Name Broken whet stone.,Situation
2962,I Cat. No. 134;,,"Locality Near Hepedale, N. Lab:",Site Black Isld.,,Situation
2963,Cat. No. 1342,,"Locality Near Hepedale, N. Lab:",Site Black 131d .,Name Reatoreg soapstone lam,Situation
2964,| Cat. No. 134:,,"Locality Near Hopedale, N. Lab:",Site Black Iald .,Name Notched piece of wood.,Situation
2965,I Cat.No. 134A,,"‘ Locality hear HOpedale, N. Lab!
1",Site Black 181d.,I Name 2 pieces corroded iron,Situation
2966,I Cat. No. 1341,,"l Locality Near Hopedale, N. Lab!",Site Black I 81d.,I Name yargqpncg of whaylebo:,Situation
2967,Cat. No. 1346,,Locality Island nr. Nazi,Site,"Nam Flat adze, aha",Situation
2968,I Cat. No. 134‘,,"Locality Island nr. Nain, N. L:",Site,"Name Small dark stone adze,",Situation
2969,Cat. No. 1348,,"Locality Island nr. Nain, N.",Site,"Name Long, smooth stone,

_ .LAL—“A",Situation
2970,| Cat. No. 134!,,"' Locality Island nr. Nain, N. L:",Site,Name Smooth black pelztgle2,Situation
2971,Cat. No. 1350,,"Locality Hepedale , N .",Site,"Name Harpoon point

-__.IL-__ L-.—",Situation
2972,Cat. No. 1351,,"Locality Hopedale, N. Labrador",Site,"Name Harpoon head of old be

A-_.I_ -Ab _.L 1.1.:-",Situation
2973,I Cat. No. 135;,,"‘ Locality Hopedale, N. Labrador.",,Name Tiny iron-bladed harpo,Situation
2974,| Cat. No. 135;,,"10°31“? Hepedale, N. Labrador",Site,"7 ?
Name Meat fork. or caribm",Situation
2975,Cat. No. 1354,,"Locality Hopedale, N. Labrador",Site,"Name Section of old “caribc

n-_nA__L--1 L__.__",Situation
2976,I Cat. No. 1355,,"Locality Hopedale, N. Labrador",Site,"Name 01d tooth, two perfora",Situation
2977,Cat. No. 1356,,"Wit? Hopedale, N. Lat",Site,"""we Trace buckle. 0",Situation
2978,| Cat. No. 1351,,"Locality Hopedale, N. Labrador",Site,"Name Grooved Whetstone"".",Situation
2979,I Cat. No. 135;,,", Locality Hopedale, N. Labrador.",Site,Nme Fragment of} pot of a,Situation
2980,| Cat. No. 135!,,"Locality Hopedale, N. Labrador.",Site,L Name Broken mattock blade.,Situation
2981,| Cat. No. 136(,,"Locality Hopedale, N. Labrador.",Site,Nme Two pieces of worked 1|,Situation
2982,Cat. No. 1361,,Locality N . Labrador.,Site Hop edal e .,"Name Large fragment of 1a:

A._... L‘_.L",Situation
2983,I Cat. No. 136:,,Locality N . Labrador .,Site HOpedale.,Name Large broken lamp of I,Situation
2984,I Cat. No. 135,,' Wit! N. Labrador.,"Site

Hopedale.",I Name 2 fragments 01’ worked,Situation
2985,I Cat. No. 136,,Wt? N. Labrador.,5‘“ Hopedal e .,m,Situation
